Material,Material Desc.,Requested Qty.,Sales Unit,Status Text,Requested Del. Date,Date Received,Sold-To State,Sold-To Name,Ship-To Name
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,4/15/25,4/11/25,AZ,AZ Dept. of Economic Security,YUMA COMMUNITY FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/30/25,4/16/25,AZ,AZ Dept. of Economic Security,ST MARY'S FOOD BANK ALLIANCE
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/1/25,CA,CA Dept. of Social Services,COMMUNITY ACTION PARTNERSHIP OF KERN
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/30/25,4/25/25,CA,CA Dept. of Social Services,LARFB - Pellissier
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/30/25,4/18/25,CA,CA Dept. of Social Services,Community Action Partnership of Orange C
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/30/25,4/22/25,CA,CA Dept. of Social Services,Jacobs & Cushman San Diego Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,5/15/25,5/9/25,CA,CA Dept. of Social Services,LARFB - Pellissier
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,5/15/25,5/13/25,CA,CA Dept. of Social Services,SACRAMENTO FOOD BANK & FAMILY SVS
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,5/15/25,5/5/25,CA,CA Dept. of Social Services,Community Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,5/31/25,5/19/25,CA,CA Dept. of Social Services,ALAMEDA COUNTY COMMUNITY FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,5/31/25,5/23/25,CA,CA Dept. of Social Services,Second Harvest of Silicon Valley
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,5/31/25,5/19/25,CA,CA Dept. of Social Services,LARFB - Pellissier
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/15/25,6/3/25,CA,CA Dept. of Social Services,LARFB - Pellissier
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/15/25,6/6/25,CA,CA Dept. of Social Services,COMMUNITY ACTION PARTNERSHIP OF KERN
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/30/25,6/23/25,CA,CA Dept. of Social Services,LARFB - Pellissier
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/30/25,6/20/25,CA,CA Dept. of Social Services,LARFB - Pellissier
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/30/25,6/16/25,CA,CA Dept. of Social Services,Jacobs & Cushman San Diego Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/15/25,7/7/25,CA,CA Dept. of Social Services,Food Bank of Contra Costa & Solano
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/15/25,7/12/25,CA,CA Dept. of Social Services,LARFB - Pellissier
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Purchased,7/31/25,,CA,CA Dept. of Social Services,LARFB - Pellissier
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Purchased,7/31/25,,CA,CA Dept. of Social Services,LARFB - Pellissier
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,403.00,CS,Order Received,4/15/25,4/3/25,CO,CO Dept. of Human Services,COMMUNITY FOOD SHARE
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,619.00,CS,Order Received,4/15/25,4/3/25,CO,CO Dept. of Human Services,WELD COUNTY TEFAP
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,418.00,CS,Order Received,4/15/25,4/3/25,CO,CO Dept. of Human Services,Food Bank for Larimer County
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,6/15/25,6/2/25,CO,CO Dept. of Human Services,WELD COUNTY TEFAP
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,6/15/25,6/2/25,CO,CO Dept. of Human Services,CARE AND SHARE FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1080.00,CS,Order Received,6/15/25,6/2/25,CO,CO Dept. of Human Services,FOOD BANK OF THE ROCKIES
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,6/15/25,6/3/25,CO,CO Dept. of Human Services,Food Bank of the Rockies/Grand Junction
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,5/31/25,5/16/25,CT,CT Dept. of Social Services,CONNECTICUT FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/31/25,7/18/25,CT,CT Dept. of Social Services,CONNECTICUT FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,4/15/25,4/1/25,DC,DC Dept. of Health,Capital Area Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,5/31/25,5/20/25,DC,DC Dept. of Health,Capital Area Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,5/31/25,5/22/25,DE,DE Government Support Services,"Food Bank of Delaware, Inc"
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,5/31/25,5/22/25,DE,DE Government Support Services,Food Bank of Delaware New Milford Branch
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,7/31/25,7/17/25,DE,DE Government Support Services,"Food Bank of Delaware, Inc"
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,7/31/25,7/17/25,DE,DE Government Support Services,Food Bank of Delaware New Milford Branch
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/4/25,FL,FL Dept. of Ag and Consumer Services,Farm Share NE FL
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/1/25,FL,FL Dept. of Ag and Consumer Services,Palm Beach Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/1/25,FL,FL Dept. of Ag and Consumer Services,FEEDING SOUTH FLORIDA
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/30/25,4/17/25,FL,FL Dept. of Ag and Consumer Services,Regional Food Bank of NE
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,921.00,CS,Order Received,6/30/25,6/24/25,FL,FL Dept. of Ag and Consumer Services,RELIGIOUS COMMUNITY SERVICES
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,519.00,CS,Order Received,6/30/25,6/23/25,FL,FL Dept. of Ag and Consumer Services,THE VOLUNTEER WAY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/15/25,7/11/25,FL,FL Dept. of Ag and Consumer Services,SECOND HARVEST OF CENTRAL FLORIDA
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/31/25,7/28/25,FL,FL Dept. of Ag and Consumer Services,Farm Share Broward County
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/31/25,7/21/25,FL,FL Dept. of Ag and Consumer Services,FARM SHARE INC
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/31/25,7/25/25,FL,FL Dept. of Ag and Consumer Services,Farm Share NE FL
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/1/25,GA,GA Dept. of Human Resources,ATLANTA COMMUNITY FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/1/25,GA,GA Dept. of Human Resources,FEEDING THE VALLEY FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/2/25,GA,GA Dept. of Human Resources,Second Harvest of Coastal Ga
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/4/25,GA,GA Dept. of Human Resources,Food Bank of Northeast Georgia
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/15/25,7/2/25,GA,GA Dept. of Human Resources,ATLANTA COMMUNITY FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,912.00,CS,Canceled,6/30/25,,HI,HI Dept. of Labor & Industrial Relations,HAWAII FOODBANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,76.00,CS,Canceled,6/30/25,,HI,HI Dept. of Labor & Industrial Relations,The Hawaii Foodbank Inc.
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,277.00,CS,Canceled,6/30/25,,HI,HI Dept. of Labor & Industrial Relations,THE FOOD BASKET INC
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,175.00,CS,Canceled,6/30/25,,HI,HI Dept. of Labor & Industrial Relations,MAUI FOOD BANK INC
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,851.00,CS,Order Received,4/30/25,4/18/25,IA,IA Dept. of Human Services,FOOD BANK OF IOWA
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,589.00,CS,Order Received,4/30/25,4/21/25,IA,IA Dept. of Human Services,RIVER BEND FOODBANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,480.00,CS,Order Received,6/15/25,6/10/25,ID,ID Dept. of Health & Welfare,IDAHO FOODBANK - Pocatel
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,480.00,CS,Order Received,6/15/25,6/11/25,ID,ID Dept. of Health & Welfare,Idaho Foodbank-TEFAP
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,480.00,CS,Order Received,6/15/25,6/11/25,ID,ID Dept. of Health & Welfare,IFB - Lewiston TEFAP
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,4/15/25,4/9/25,IL,IL Dept. of Human Services (2),Northern Illinois Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,620.00,CS,Order Received,4/15/25,4/8/25,IL,IL Dept. of Human Services (2),CENTRAL ILLINOIS FOODBANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,460.00,CS,Order Received,4/15/25,4/9/25,IL,IL Dept. of Human Services (2),RIVER BEND FOODBANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,4/15/25,4/3/25,IL,IL Dept. of Human Services (2),EASTERN ILLINOIS FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,4/15/25,4/3/25,IL,IL Dept. of Human Services (2),ST LOUIS AREA FOODBANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/15/25,6/9/25,IL,IL Dept. of Human Services (2),Northern Illinois Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/30/25,6/27/25,IL,IL Dept. of Human Services (2),GREATER CHICAGO FOOD DEPOSITORY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/15/25,7/1/25,IL,IL Dept. of Human Services (2),GREATER CHICAGO FOOD DEPOSITORY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/31/25,7/21/25,IL,IL Dept. of Human Services (2),GREATER CHICAGO FOOD DEPOSITORY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,600.00,CS,Order Received,4/15/25,4/9/25,IN,IN State Department of Health,THE FOOD BANK OF NORTHERN INDIANA
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,385.00,CS,Order Received,4/15/25,4/9/25,IN,IN State Department of Health,A2H FOOD BANK OF EAST CENTRAL INDIANA
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,455.00,CS,Order Received,4/15/25,4/10/25,IN,IN State Department of Health,GLEANERS FOOD BANK OF INDIANA
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,465.00,CS,Order Received,5/15/25,5/1/25,IN,IN State Department of Health,GLEANERS FOOD BANK OF INDIANA
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,475.00,CS,Order Received,5/15/25,5/1/25,IN,IN State Department of Health,FOOD FINDERS FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,500.00,CS,Order Received,5/15/25,5/1/25,IN,IN State Department of Health,Food Bank of NWI
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,665.00,CS,Order Received,6/15/25,6/5/25,IN,IN State Department of Health,GLEANERS FOOD BANK OF INDIANA
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,475.00,CS,Order Received,6/15/25,6/4/25,IN,IN State Department of Health,COMMUNITY HARVEST FOOD BANK OF NE IN
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,300.00,CS,Order Received,6/15/25,6/5/25,IN,IN State Department of Health,"Tri-State Food Bank, Inc"
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,595.00,CS,Order Received,4/15/25,4/7/25,KY,KY Dept. of Agriculture,DARE TO CARE
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,595.00,CS,Order Received,4/15/25,4/8/25,KY,KY Dept. of Agriculture,FEEDING AMERICA KENTUCKY'S HEARTLAND
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,250.00,CS,Order Received,4/15/25,4/9/25,KY,KY Dept. of Agriculture,Northern KYY ADD
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,200.00,CS,Order Received,4/15/25,4/8/25,KY,KY Dept. of Agriculture,"Tri-State Food Bank, Inc"
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,200.00,CS,Order Received,4/15/25,4/7/25,KY,KY Dept. of Agriculture,Purchase ADD- Mayfield
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1040.00,CS,Order Received,4/15/25,4/7/25,KY,KY Dept. of Agriculture,GOD'S PANTRY FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,4/15/25,4/4/25,LA,LA Dept. of Agriculture and Forestry,FOOD BANK OF CENTRAL LOUISIANA
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,4/15/25,4/4/25,LA,LA Dept. of Agriculture and Forestry,Northwest LA Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,480.00,CS,Order Received,5/15/25,5/2/25,LA,LA Dept. of Agriculture and Forestry,SECOND HARVEST FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,960.00,CS,Order Received,5/15/25,5/1/25,LA,LA Dept. of Agriculture and Forestry,SECOND HARVEST FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/30/25,6/16/25,LA,LA Dept. of Agriculture and Forestry,Greater Baton Rouge Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/2/25,MD,MD Dept. of Human Resources,MARYLAND FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,4/15/25,4/1/25,MD,MD Dept. of Human Resources,Capital Area Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,5/31/25,5/20/25,MD,MD Dept. of Human Resources,Capital Area Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,5/15/25,5/7/25,ME,ME Dept of Agriculture,GOOD SHEPHERD FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,581.00,CS,Order Received,4/15/25,4/7/25,MI,MI Dept. of Education,South Michigan Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,571.00,CS,Order Received,4/15/25,4/7/25,MI,MI Dept. of Education,FOOD BANK OF EASTERN MICHIGAN
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,288.00,CS,Order Received,4/15/25,4/7/25,MI,MI Dept. of Education,MID MICHIGAN CAA-TEFAP
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,471.00,CS,Order Received,4/30/25,4/16/25,MI,MI Dept. of Education,FOOD BANK OF EASTERN MICHIGAN
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,969.00,CS,Order Received,4/30/25,4/17/25,MI,MI Dept. of Education,FEEDING AMERICA WEST MI
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,817.00,CS,Order Received,4/30/25,4/17/25,MI,MI Dept. of Education,Gleaners Community Food Bank (TEFAP)
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,623.00,CS,Order Received,4/30/25,4/17/25,MI,MI Dept. of Education,Forgotten Harvest - TEFAP
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,461.00,CS,Order Received,5/15/25,5/1/25,MI,MI Dept. of Education,Greater Lansing Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,619.00,CS,Order Received,5/15/25,5/1/25,MI,MI Dept. of Education,Forgotten Harvest - TEFAP
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,5/15/25,5/1/25,MI,MI Dept. of Education,Kalamazoo Partnership
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,826.00,CS,Order Received,5/31/25,5/19/25,MI,MI Dept. of Education,Gleaners Community Food Bank (TEFAP)
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,614.00,CS,Order Received,5/31/25,5/19/25,MI,MI Dept. of Education,FEEDING AMERICA WEST MI
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,288.00,CS,Order Received,4/15/25,4/4/25,MN,"MN Dept. of Children, Youth, & Families",CHANNEL ONE FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,314.00,CS,Order Received,4/15/25,4/4/25,MN,"MN Dept. of Children, Youth, & Families",THE FOOD GROUP
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,838.00,CS,Order Received,4/15/25,4/4/25,MN,"MN Dept. of Children, Youth, & Families",Second Harvest Heartland
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,314.00,CS,Order Received,4/30/25,4/17/25,MN,"MN Dept. of Children, Youth, & Families",THE FOOD GROUP
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,838.00,CS,Order Received,4/30/25,4/17/25,MN,"MN Dept. of Children, Youth, & Families",Second Harvest Heartland
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,288.00,CS,Order Received,4/30/25,4/17/25,MN,"MN Dept. of Children, Youth, & Families",North Country Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,450.00,CS,Order Received,4/15/25,4/4/25,MO,MO Family Support Division,HARVESTERS
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,630.00,CS,Order Received,4/15/25,4/3/25,MO,MO Family Support Division,ST LOUIS AREA FOODBANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,4/15/25,4/3/25,MO,MO Family Support Division,THE FOOD BANK FOR CENTRAL
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,5/15/25,5/5/25,MO,MO Family Support Division,OZARKS FOOD HARVEST
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,5/15/25,5/6/25,MO,MO Family Support Division,SECOND HARVEST COMMUNITY FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,5/15/25,5/5/25,MO,MO Family Support Division,Southeast Missouri Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,459.00,CS,Order Received,6/15/25,6/5/25,MO,MO Family Support Division,HARVESTERS
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,621.00,CS,Order Received,6/15/25,6/5/25,MO,MO Family Support Division,ST LOUIS AREA FOODBANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,6/15/25,6/5/25,MO,MO Family Support Division,THE FOOD BANK FOR CENTRAL
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/1/25,MS,MS Dept. of Human Services,Mid-South Food Bank of Tennessee
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,5/15/25,5/2/25,MS,MS Dept. of Human Services,MISSISSIPPI FOOD NETWORK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/30/25,4/17/25,NC,NC Dept. of Ag and Consumer Services,NCDA FOOD DISTRIB WHSE - BUTNER
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/30/25,4/17/25,NC,NC Dept. of Ag and Consumer Services,NCDA FOOD DISTRIB WHSE - SALISBURY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/15/25,6/2/25,NC,NC Dept. of Ag and Consumer Services,NCDA FOOD DISTRIB WHSE - BUTNER
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/15/25,6/2/25,NC,NC Dept. of Ag and Consumer Services,NCDA FOOD DISTRIB WHSE - SALISBURY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,7/31/25,7/21/25,NC,NC Dept. of Ag and Consumer Services,NCDA FOOD DISTRIB WHSE - BUTNER
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,7/31/25,7/21/25,NC,NC Dept. of Ag and Consumer Services,NCDA FOOD DISTRIB WHSE - SALISBURY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/30/25,4/17/25,NH,NH Dept. of Administrative Services,BELKNAP-MERRIMACK COMMUNITY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,4/15/25,4/11/25,NJ,NJ Dept. of Agriculture,SAFEWAY COLD STORAGE
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,4/15/25,4/10/25,NJ,NJ Dept. of Agriculture,COMMUNITY FOOD BANK OF NJ
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,4/15/25,4/11/25,NJ,NJ Dept. of Agriculture,COMMUNITY FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,7/15/25,7/8/25,NJ,NJ Dept. of Agriculture,SAFEWAY COLD STORAGE
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,7/15/25,7/8/25,NJ,NJ Dept. of Agriculture,COMMUNITY FOOD BANK OF NJ
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,7/15/25,7/8/25,NJ,NJ Dept. of Agriculture,COMMUNITY FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/30/25,4/21/25,NM,NM Human Services Dept.,ROADRUNNER FOOD BANK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/8/25,NV,NV Dept of Agriculture,Three Square Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/15/25,7/7/25,NV,NV Dept of Agriculture,FOOD BANK OF NORTHERN NEVADA
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,4/15/25,4/9/25,NY,NY Office of General Service,LONG ISLAND CARES INC
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,4/15/25,4/10/25,NY,NY Office of General Service,Food Bank of the Southern Tier
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,360.00,CS,Order Received,4/15/25,4/9/25,NY,NY Office of General Service,"Feeding Westchester, Inc"
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/30/25,4/22/25,NY,NY Office of General Service,FOOD BANK FOR NEW YORK CITY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,480.00,CS,Order Received,5/15/25,5/13/25,NY,NY Office of General Service,FeedMore WNY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,480.00,CS,Order Received,5/15/25,5/14/25,NY,NY Office of General Service,FOOD BANK OF CENTRAL NEW YORK
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,480.00,CS,Order Received,5/15/25,5/16/25,NY,NY Office of General Service,Foodlink Inc.
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,5/31/25,5/14/25,NY,NY Office of General Service,FOOD BANK FOR NEW YORK CITY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,6/30/25,6/17/25,NY,NY Office of General Service,FOOD BANK FOR NEW YORK CITY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,7/15/25,7/2/25,NY,NY Office of General Service,REGIONAL FOOD BANK OF NE NY
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,480.00,CS,Order Received,7/15/25,7/2/25,NY,NY Office of General Service,LONG ISLAND CARES INC
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,480.00,CS,Order Received,7/15/25,7/3/25,NY,NY Office of General Service,Food Bank of the Southern Tier
